fileID,f1,f2,vot,notes
ne02_kaka,565.07,1412.32,39.80,
ne02_kaka1,947.34,2252.75,52.72,
ne02_kaka2,70.34,1503.69,54.21,
ne02_keke,468.99,2409.43,34.62,
ne02_keke1,420.66,2483.75,45.10,
ne02_keke2,495.99,2239.34,29.68,
ne02_kiki,356.96,2692.85,61.81,
ne02_kiki1,344.14,2778.07,82.71,
ne02_kiki2,324.16,2770.83,57.61,
ne02_koko,555.43,1041.89,44.33,
ne02_koko1,442.90,1019.94,32.03,
ne02_koko2,532.80,1077.60,45.69,
ne02_kuku,910.88,1155.53,57.01,
ne02_kuku1,303.71,1172.64,51.32,
ne02_kuku2,482.19,1141.08,57.81,
ne02_paka,761.34,1680.12,17.42,
ne02_paka1,864.31,1521.18,12.69,
ne02_paka2,1053.82,1784.87,9.30,
ne02_peke,545.06,2392.69,37.18,
ne02_peke1,525.83,2455.28,10.40,
ne02_peke2,529.80,2469.07,36.45,
ne02_piki,346.62,2628.07,10.26,
ne02_piki1,381.23,2703.65,10.04,
ne02_piki2,445.68,2643.52,11.62,
ne02_poko,572.77,1019.49,14.70,
ne02_poko1,1021.88,2160.28,15.91,
ne02_poko2,428.00,1140.83,12.55,
ne02_puku,435.69,1052.59,22.81,
ne02_puku1,494.36,1207.81,31.38,
ne02_puku2,449.24,1261.82,20.43,
ne02_taka,843.95,1768.59,16.06,
ne02_taka1,828.11,1588.25,16.05,
ne02_taka2,796.95,1679.82,17.76,
ne02_teke,517.98,2379.95,20.65,
ne02_teke1,480.80,2481.30,20.69,
ne02_teke2,666.64,1853.40,33.65,
ne02_tiki,302.52,2875.55,33.69,
ne02_tiki1,312.96,2749.04,32.26,
ne02_tiki2,286.81,2682.28,30.04,
ne02_toko,502.79,998.60,29.19,
ne02_toko1,587.88,1147.49,35.08,
ne02_toko2,522.04,1023.44,26.83,
ne02_tuku,470.47,1300.54,25.86,
ne02_tuku1,447.43,1131.60,34.35,
ne02_tuku2,739.10,1568.32,31.75,
